geo_type,region,transportation_type,alternative_name,sub_region,country,date,score
city,Birmingham,driving,NA,England,United Kingdom,2020-10-01,102.04
city,Birmingham,driving,NA,England,United Kingdom,2020-10-02,111.18
city,Birmingham,driving,NA,England,United Kingdom,2020-10-03,100.12
city,Birmingham,driving,NA,England,United Kingdom,2020-10-04,88.11
city,Birmingham,driving,NA,England,United Kingdom,2020-10-05,98.12
city,Birmingham,driving,NA,England,United Kingdom,2020-10-06,100.11
city,Birmingham,driving,NA,England,United Kingdom,2020-10-07,103.24
city,Birmingham,driving,NA,England,United Kingdom,2020-10-08,102.1
city,Birmingham,driving,NA,England,United Kingdom,2020-10-09,107.18
city,Birmingham,driving,NA,England,United Kingdom,2020-10-10,102.02
city,Birmingham,driving,NA,England,United Kingdom,2020-10-11,88.86
city,Birmingham,driving,NA,England,United Kingdom,2020-10-12,95.35
city,Birmingham,driving,NA,England,United Kingdom,2020-10-13,97.01
city,Birmingham,driving,NA,England,United Kingdom,2020-10-14,97.2
city,Birmingham,driving,NA,England,United Kingdom,2020-10-15,99.17
city,Birmingham,driving,NA,England,United Kingdom,2020-10-16,105.61
city,Birmingham,driving,NA,England,United Kingdom,2020-10-17,96
city,Birmingham,driving,NA,England,United Kingdom,2020-10-18,85.44
city,Birmingham,driving,NA,England,United Kingdom,2020-10-19,95.31
city,Birmingham,driving,NA,England,United Kingdom,2020-10-20,95.67
city,Birmingham,driving,NA,England,United Kingdom,2020-10-21,98.1
city,Birmingham,driving,NA,England,United Kingdom,2020-10-22,98.99
city,Birmingham,driving,NA,England,United Kingdom,2020-10-23,105.8
city,Birmingham,driving,NA,England,United Kingdom,2020-10-24,94.98
city,Birmingham,driving,NA,England,United Kingdom,2020-10-25,84.52
city,Birmingham,driving,NA,England,United Kingdom,2020-10-26,99.14
city,Birmingham,driving,NA,England,United Kingdom,2020-10-27,100.93
city,Birmingham,driving,NA,England,United Kingdom,2020-10-28,102.22
city,Birmingham,driving,NA,England,United Kingdom,2020-10-29,102.75
city,Birmingham,driving,NA,England,United Kingdom,2020-10-30,110.67
city,Birmingham,driving,NA,England,United Kingdom,2020-10-31,94.52
city,Birmingham,driving,NA,England,United Kingdom,2020-11-01,79.78
city,Birmingham,driving,NA,England,United Kingdom,2020-11-02,94.87
city,Birmingham,driving,NA,England,United Kingdom,2020-11-03,101.24
city,Birmingham,driving,NA,England,United Kingdom,2020-11-04,105.11
city,Birmingham,driving,NA,England,United Kingdom,2020-11-05,75.68
city,Birmingham,driving,NA,England,United Kingdom,2020-11-06,80.08
city,Birmingham,driving,NA,England,United Kingdom,2020-11-07,68.88
city,Birmingham,driving,NA,England,United Kingdom,2020-11-08,56.7
city,Birmingham,driving,NA,England,United Kingdom,2020-11-09,76.79
city,Birmingham,driving,NA,England,United Kingdom,2020-11-10,77.43
city,Birmingham,driving,NA,England,United Kingdom,2020-11-11,78.32
city,Birmingham,driving,NA,England,United Kingdom,2020-11-12,79.2
city,Birmingham,driving,NA,England,United Kingdom,2020-11-13,85.26
city,Birmingham,driving,NA,England,United Kingdom,2020-11-14,70.84
city,Birmingham,driving,NA,England,United Kingdom,2020-11-15,59.17
city,Birmingham,driving,NA,England,United Kingdom,2020-11-16,79.13
city,Birmingham,driving,NA,England,United Kingdom,2020-11-17,78.46
city,Birmingham,driving,NA,England,United Kingdom,2020-11-18,79.68
city,Birmingham,driving,NA,England,United Kingdom,2020-11-19,79.73
city,Birmingham,driving,NA,England,United Kingdom,2020-11-20,88.33
city,Birmingham,driving,NA,England,United Kingdom,2020-11-21,75.18
city,Birmingham,driving,NA,England,United Kingdom,2020-11-22,62.51
city,Birmingham,driving,NA,England,United Kingdom,2020-11-23,78.96
city,Birmingham,driving,NA,England,United Kingdom,2020-11-24,79.97
city,Birmingham,driving,NA,England,United Kingdom,2020-11-25,79.67
city,Birmingham,driving,NA,England,United Kingdom,2020-11-26,81.17
city,Birmingham,driving,NA,England,United Kingdom,2020-11-27,87.81
city,Birmingham,driving,NA,England,United Kingdom,2020-11-28,75.84
city,Birmingham,driving,NA,England,United Kingdom,2020-11-29,62.96
city,Birmingham,driving,NA,England,United Kingdom,2020-11-30,81.37
city,Birmingham,driving,NA,England,United Kingdom,2020-12-01,81.71
city,Birmingham,driving,NA,England,United Kingdom,2020-12-02,87.02
city,Birmingham,driving,NA,England,United Kingdom,2020-12-03,88.79
city,Birmingham,driving,NA,England,United Kingdom,2020-12-04,101.6
city,Birmingham,driving,NA,England,United Kingdom,2020-12-05,88.26
city,Birmingham,driving,NA,England,United Kingdom,2020-12-06,71.16
city,Birmingham,driving,NA,England,United Kingdom,2020-12-07,87.1
city,Birmingham,driving,NA,England,United Kingdom,2020-12-08,89.97
city,Birmingham,driving,NA,England,United Kingdom,2020-12-09,89.47
city,Birmingham,driving,NA,England,United Kingdom,2020-12-10,91
city,Birmingham,driving,NA,England,United Kingdom,2020-12-11,99.2
city,Birmingham,driving,NA,England,United Kingdom,2020-12-12,92.69
city,Birmingham,driving,NA,England,United Kingdom,2020-12-13,70.55
city,Birmingham,driving,NA,England,United Kingdom,2020-12-14,93.04
city,Birmingham,driving,NA,England,United Kingdom,2020-12-15,94.25
city,Birmingham,driving,NA,England,United Kingdom,2020-12-16,92.55
city,Birmingham,driving,NA,England,United Kingdom,2020-12-17,94.24
city,Birmingham,driving,NA,England,United Kingdom,2020-12-18,105.24
city,Birmingham,driving,NA,England,United Kingdom,2020-12-19,91.65
city,Birmingham,driving,NA,England,United Kingdom,2020-12-20,72.32
city,Birmingham,driving,NA,England,United Kingdom,2020-12-21,89.6
city,Birmingham,driving,NA,England,United Kingdom,2020-12-22,89.08
city,Birmingham,driving,NA,England,United Kingdom,2020-12-23,90.59
city,Birmingham,driving,NA,England,United Kingdom,2020-12-24,73.65
